year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
2013,86,2014-03-02,Dolby Theatre,Anne Hathaway,Actor in a Supporting Role,NA,Dallas Buyers Club,NA,Jared Leto,"JARED LETO:
 Incredible. Ellen, I love you. To my fellow nominees, I'm so proud to share this journey with you. I'm in awe and have so much respect for you all. To the Academy, thank you.

 In 1971, Bossier City, Louisiana, there was a teenage girl who was pregnant with her second child. She was a high school dropout and a single mom, but somehow she managed to make a better life for herself and her children. She encouraged her kids to be creative, to work hard and to do something special. That girl is my mother, and she's here tonight. And I just want to say, I love you, Mom. Thank you for teaching me to dream. To my brother, Shannon, the best big brother in the world, you're a true artist. Thank you so much for sharing this insane and amazing adventure that is Thirty Seconds to Mars, and for being my best friend. I love you. Thank you.

 To all the dreamers out there around the world watching this tonight in places like the Ukraine and Venezuela, I want to say, we are here. And as you struggle to, to make your dreams happen, to live the impossible, we're thinking of you tonight. And this is incredibly special as well, because there's so many people that helped me get here. And I just want to say thank you to Focus Features, to Mick Sullivan, to Jim Toth, to Jason Weinberg, to Emma Ludbrook, to Callie Addams, to the entire ""Dallas Buyers Club"" team. Matthew, I love you. Jean-Marc.

 And this is for the 36 million people who have lost the battle to AIDS. And to those of you out there who have ever felt injustice because of who you are or who you love, tonight I stand here in front of the world with you and for you. Thank you so much and goodnight.
"
2013,86,2014-03-02,Dolby Theatre,Daniel Day-Lewis,Actress in a Leading Role,NA,Blue Jasmine,NA,Cate Blanchett,"CATE BLANCHETT:
 Sit down; you're too old to be standing. Thank you, Mr. Day-Lewis. From you it exacerbates this honor to it and it blows it right out of the ballpark. Thank you so much to the Academy. As random and as subjective as this award is, it means a great deal in a year of extraordinary – yet again – extraordinary performances by women. Amy Adams, everything you do, but your performance in ""American Hustle"" blew my mind. And Meryl, what can I say? Sandra, I could watch that performance to the end of time, and I sort of felt like I had. Julia, #suckit. You know what I mean? And Judi Dench, I mean what a career. She's not here tonight because at the age of 79 her film was so successful that she's in India doing a sequel. I mean what a career that is, if I could hope.

 And me, I'm here accepting an award in an extraordinary screenplay by Woody Allen. Thank you so much, Woody, for casting me. I truly appreciate it. I'm so very proud that ""Blue Jasmine"" stayed in the cinemas for as long as it did. And thank you to Sony Classics, to Michael and Tom, for their extraordinary support, for so bravely and intelligently distributing the film. And to the audiences who went to see it, and perhaps those of us in the industry who are still foolishly clinging to the idea that female films with women at the center are niche experiences. They are not. Audiences want to see them and, in fact, they earn money. So... The world is round, people!

 Thank you to my mum, to my sister, to my brother, to my three glorious sons; I would not be standing here without you. To my husband Andrew, you are a legend. Thank you to my agent Hylda Queally; you're behind the pillar somewhere up there. You are a goddess. To my agent in Australia, Robyn Gardiner, I love you so very much. To my publicist Lisa Kasteler. To the sublime Sally Hawkins and to the extraordinary cast of ""Blue Jasmine,"" I don't know how to do this without other actors and this I share with you. To the hair and makeup people who sweated me up and tried to make me look attractive, thank you for the attempt. To Carla Meyer, for getting Sally and I together and for incredible support. To Helen Robin. To everyone involved in ""Blue Jasmine,"" I thank you so much.

 And finally, I would like to thank every single member of the Sydney Theatre Company, one of the great theater companies in the world. For me working on ""Blue Jasmine,"" it was a real synthesis of my work in the theater and on film. And not only working with you for the last six years has been the most enormous privilege of my career, but it's made me a better actress. There is so much talent in Australia, and Michael Wilkinson and CM and I are just tonight's tip of the iceberg. Thank you so much. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,Christoph Waltz,Actress in a Supporting Role,NA,12 Years a Slave,NA,Lupita Nyong'o,"LUPITA NYONG'O:
 Yes! Thank you to the Academy for this incredible recognition. It doesn't escape me for one moment that so much joy in my life is thanks to so much pain in someone else's. And so I want to salute the spirit of ""Patsey"" for her guidance. And for Solomon, thank you for telling her story and your own.

 Steve McQueen, you charge everything you fashion with a breath of your own spirit. Thank you so much for putting me in this position; it has been the joy of my life. I'm certain that the dead are standing about you and watching and they are grateful and so am I. Chiwetel, thank you for your fearlessness and how deeply you went into telling Solomon's story. Michael Fassbender, thank you so much; you were my rock. Alfre and Sarah, it was a thrill to work with you. Joe Walker, the invisible performer in the editing room, thank you. Sean Bobbitt, Kalaadevi, Adruitha, Patty Norris, thank you, thank you, thank you. I could not be here without your work.

 I want to thank my family for your training, and the Yale School of Drama as well for your training. My friends, the Wilsons, this one's for you. My brother Junior, sitting by my side, thank you so much. You are my best friend. And Ben, my other best friend, my chosen family. When I look down at this golden statue, may it remind me and every little child that no matter where you're from your dreams are valid. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Kim Novak, Matthew McConaughey",Animated Feature Film,NA,Frozen,NA,"Chris Buck, Jennifer Lee and Peter Del Vecho","JENNIFER LEE:
 We're gonna do this together, because we're collaborative, but we'll be fast.

 PETER DEL VECHO:
 First, we want to thank each and every person at Walt Disney Animation Studios, our family. We are so proud of you for making the film as magical as it is. And we're bringing this home to you.

 JENNIFER LEE:
 And for our personal families and dearest friends, thank you so much for supporting us through this hard work and for really being our inspiration.

 CHRIS BUCK:
 And finally, we'd like to dedicate this to our guardian angel; that's my son, Ryder Buck. Thank you, Ryder.

 JENNIFER LEE:
 Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Amy Adams, Bill Murray",Cinematography,NA,Gravity,NA,Emmanuel Lubezki,"EMMANUEL LUBEZKI:
 I want to thank the Academy for this amazing award. I would like to share this with the cast and crew – I know everybody says that, but I truly want to share it with the cast and crew. Especially with my friend and my teacher, Mr. Alfonso Cuarón. To your passion and your creativity and your drive, incredible. And with Tim Webber and the team of Framestore nerds that made this trip possible. I want to share it as well with David Heyman and Warner Bros. for making the movie. And with Sandy Bullock. Sandita, you're absolutely amazing. To my wife Laurencita. Alejandra and Dani, my daughters. My parents. My family. My friends. My teachers – not all of them, but some of them. And thank you so much. Goodnight.
"
2013,86,2014-03-02,Dolby Theatre,"Naomi Watts, Samuel L. Jackson",Costume Design,NA,The Great Gatsby,NA,Catherine Martin,"CATHERINE MARTIN:
 I do have a few words tucked into my bra. It's a very Australian thing to do. It's where you put your tissues. I'll be very short. It's not a long list. Of course, I'd like to thank the Academy but mainly I'd like to thank my incredible team. I have a group of ladies who are sewing for me right now in Sydney on a show we're making of Baz's first film, a musical. They're my golden girls. They've been working with me for 25 years. They bring me such incredible luck. They'll all be watching the TV right now and they know who they are. There are two people I have to thank very, very specially: Kerry Thompson and Silvana Azzi Heras. And, of course, my incomparable husband Baz Luhrmann. He makes it all possible. He dreams the dream.
"
2013,86,2014-03-02,Dolby Theatre,"Angelina Jolie, Sidney Poitier",Directing,NA,Gravity,NA,Alfonso Cuarón,"ALFONSO CUARÓN:
 Wow, thank you. Thanks to the Academy. Like any other human endeavor making a film can be a transformative experience. And I want to thank ""Gravity,"" because for many of us involved in this film it was definitely a transformative experience. And it's good because it took so long that if not it would be like a waste of time. And why it really sucks is that while for a lot of these people that transformation was wisdom, for me it was just the color of my hair.

 I want to share this with all these wise people who made this movie happen. My amazing son and co-writer, Jonás Cuarón. Sandra Bullock, Sandy, you're ""Gravity."" You are the soul, the heart, of the film. You're the most amazing collaborator and one of the best people I ever met. George Clooney, for your absolute trust. David Heyman, Chivo and Tim Webber, for making this film happen. The wise guys of Warner Bros. – the wise people – at Warner Bros.: Kevin Tsujihara, Sue Kroll, Dan Fellman, Greg Silverman, Lynn Harris, Chris deFaria. And the film took so long that we went through two different administrations, so I have to honor as well Alan Horn and Jeff Robinov. Alejandro González Iñárritu and Guillermo del Toro, Gabriela Rodriguez, Steve Rabineau, Henry Holmes, Jim Berkus and Tracey Jacobs. And Christine*. Y como siempre Sheherazade, Bu, Olmo. Y esto es gracias a ti, Mama. Si algo yo por estoy aqui es por ti, y esto es para ti. Te amo. Bye, guys.
"
2013,86,2014-03-02,Dolby Theatre,Bradley Cooper,Documentary (Feature),NA,20 Feet from Stardom,NA,"Morgan Neville, Gil Friesen and Caitrin Rogers","MORGAN NEVILLE:
 Thank you. I first want to thank, along with my producer Cait, our other producer, Gil Friesen. This was his idea and it was his baby. And when I first met with him I remember he said, ""I want to win an Oscar."" I remember thinking, you're crazy. That will never happen. Gil passed away just weeks before we premiered the film at Sundance, and tonight I know he's celebrating with us along with his wife Janet and his son Theo. I just want to thank my backup singers: my wife Jennette, my kids, Sadie and Cameron. I want to thank our amazing distributors, RADiUS and the Weinstein Company. And lastly, these incredible singers, like Miss Darlene Love.

 DARLENE LOVE:
 Lord God, I praise you and I am so happy to be here representing the ladies of ""20 Feet from Stardom."" [Sings:] ""I sing because I'm happy. I sing because I'm free. 'Cause His eye is on the sparrow and I know He watches me."" Alton, I love you.
"
2013,86,2014-03-02,Dolby Theatre,"Kate Hudson, Jason Sudeikis",Documentary (Short Subject),NA,The Lady in Number 6: Music Saved My Life,NA,Malcolm Clarke and Nicholas Reed,"MALCOLM CLARKE:
 Thank you. When I met Alice Sommer I was struck by two things: her extraordinary capacity for joy and her amazing capacity for forgiveness. For those of you who don't know it, the amazing Alice Sommer died one week ago today. She was 110. She died quietly. And so this [holding up his Oscar] really is, and that [referring to the other Oscar], they're both for Alice. She was a woman who taught everyone on my crew to be a little bit more optimistic and a little bit more happy about all the things that were happening in our lives. And, see the film. She'll help you live, I think, a much happier life. Thank you so much. Thank you, Nick.

 NICHOLAS REED:
 Thank you to the crew, Chris Branch, Phil Goldfine, Frederic, Tim, Kieran, [unintelligible] and Carl.
"
2013,86,2014-03-02,Dolby Theatre,"Anna Kendrick, Gabourey Sidibe",Film Editing,NA,Gravity,NA,Alfonso Cuarón and Mark Sanger,"MARK SANGER:
 Thank you very much; a great honor. I'd like to thank our amazing team headed by Tania Goding, Debs Richardson, Steve Pang, Steve Mates, Alastair Grimshaw, Alex Fenn, and Ruth Antoine. I'd like to thank my lovely wife, Mrs. Sanger, over there. And all I can say is – oh, and also the unsung hero in all of this, our executive producer Nikki Penny. There is no greater accolade than to be recognized by those who inspire you, and by that I mean you, sir [referring to Mr. Cuarón], my fellow nominees and the Academy. Thank you very much indeed.

 ALFONSO CUARÓN:
 [Music begins to play] And, bye.
"
2013,86,2014-03-02,Dolby Theatre,"Ewan McGregor, Viola Davis",Foreign Language Film,NA,The Great Beauty,NA,Italy,"PAOLO SORRENTINO:
 Okay, thank you to the Academy. Thank you to Toni and Nicola and all the actors, producers and the crew. Thank you to my sources of inspiration: Federico Fellini, Talking Heads, Martin Scorsese, and Diego Armando Maradona. And thank you to Roma and to Napoli and my personal great beauty, Daniela, Anna e Carlo. And thank you to my brother Marco, my sister Daniela, and this is for my parents [unintelligible]. Thank you very much. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Naomi Watts, Samuel L. Jackson",Makeup and Hairstyling,NA,Dallas Buyers Club,NA,Adruitha Lee and Robin Mathews,"ROBIN MATHEWS:
 Thank you so much to the Academy. My goodness, you all fought for the hair and makeup of this film. You fought for it and even fulfilled every dream we've ever had. To our friends and family, thank you. To Matthew McConaughey and Jared Leto, thank you so much for letting us transform and torture you through a million, bazillion hair and makeup changes a day, and for your support with our makeup. Jean-Marc Vallée, you are a visionary. You are so amazing. And thank you for choosing the two of us to take this crazy journey with you. And finally for all the victims of AIDS, we are so lucky and blessed to be able to bring your story to the forefront of the younger generation today that doesn't understand AIDS '85. We're very blessed. Thank you.

 ADRUITHA LEE:
 Thank you. Hello, Alex and Nathan.
"
2013,86,2014-03-02,Dolby Theatre,"Jamie Foxx, Jessica Biel",Music (Original Score),NA,Gravity,NA,Steven Price,"STEVEN PRICE:
 Thank you. Thank you, Academy. Thank you so very much. Alfonso, I share this with you. You inspired every frame of this film and certainly every note that I ever wrote. Thank you for this remarkable opportunity. To all the musicians and friends who lent their talents to this score, thank you. I get to stand here but this belongs to all of us. Thank you to all at Warner Bros. Thank you to GSA. Everyone on this film, for their incredible support. One of the amazing things about working on this film is that in telling the story of ""Ryan Stone"" we got to ultimately bring her home and celebrate life, and this is dedicated to the people with whom I share my life – my family. Thank you, Mum, Dad, Jenny; sorry I made so much noise when I was growing up. My wife Gemma, our lovely children, Amy and Eva. Thank you so much. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Jamie Foxx, Jessica Biel",Music (Original Song),NA,Frozen,"""Let It Go""",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,"ROBERT LOPEZ:
 Oh, wow. Thank you, Academy.

 KRISTEN ANDERSON-LOPEZ:
 And to our fellow nominees, you are all rock stars.

 BOTH:
 Literally.

 KRISTEN ANDERSON-LOPEZ:
 We have so many people to thank. Luckily, everybody's name rhymes.

 (RL:) Idina Menzel, (KAL:) Kristen Bell.
 (RL:) Jennifer Lee, (KAL:) Peter Del V.
 (RL:) Chris Buck, (KAL:) Chris Beck.
 (RL:) John Lasseter. (Both, singing:) Happy Oscars to you. Let's do ""Frozen 2.""
 (RL:) Tom MacDougall, (KAL:) Chris Montan.
 (RL:) Oremus, (KAL:) Metzger, (RL:) Besterman.
 (KAL:) The Anderson (RL:) and the Lopez Clan.
 (KAL:) Jon Groff, (RL:) Josh Gad, (Both:) Mom and Dad.
 (RL:) John Buzzetti and our team back East, (KAL:) and Kate*, Brooklyn! And last but not least, (RL:) our girls.

 KRISTEN ANDERSON-LOPEZ:
 Katie and Annie, this song is inspired by our love for you and the hope that you never let fear or shame keep you from celebrating the unique people that you are. Thank you, we love you.

 ROBERT LOPEZ:
 We love you. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,Will Smith,Best Picture,NA,12 Years a Slave,NA,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers","BRAD PITT:
 Thank you, all. Thank you for this incredible honor you've bestowed on our film tonight. I know I speak for everyone standing behind me that it has been an absolute privilege to work on Solomon's story. And we all get to stand up here tonight because of one man who brought us all together to tell that story and that is the indomitable Mr. Steve McQueen.

 STEVE McQUEEN:
 Oh wow. I'm sorry. I apologize for the paper but otherwise I'll just bore you all. Well, maybe I'll do the same now but I'll try not to. I'd first like to thank the Academy. Thank you so much. There're a lot of people I need to thank so I'll just push on. To my wonderful cast and crew. Plan B. Brad Pitt, who, without him this film would just not have been made. Dede Gardner, Jeremy Kleiner and Anthony Katagas. River Road, Bill Pohlad. New Regency, Arnon Milchan and Brad Weston. Film4, to the great Tessa Ross. And Fox Searchlight, Steve Gilula and Nancy Utley and their fantastic team.

 My publicist Paula Woods – I'm sorry about this – for her hard work. April Lamb. And my magnificent agents – I have to say this to these, all with these women. I mean, I have all women in my life and they're all the most powerful; my mother, obviously. But this is Maha Dakhil – I can't even pronounce it. Maha, forgive me. I'm nervous, can't pronounce your name. Maha, you know who you are. Beth Swofford, Jenne Casarotto and Jodi Shields. Just give me one more minute. I'd like to thank this amazing historian, Sue Eakin, whose life, she gave her life's work to preserving Solomon's book. I'd like to thank my partner Bianca Stigter, for unearthing this treasure for me. Finally, I'd like to thank my mother. My mum's up there. Thank you for your hard-headedness, Mum. Thank you. And my children, Alex and Dexter. And my father, thank you.

 The last word: Everyone deserves not just to survive, but to live. This is the most important legacy of Solomon Northup. I dedicate this award to all the people who have endured slavery and the 21 million people who still suffer slavery today. Thank you very much. Thank you. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Jennifer Garner, Benedict Cumberbatch",Production Design,NA,The Great Gatsby,NA,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,"BEVERLEY DUNN:
 Thank you. Thank you to the Academy. Thank you to our fellow nominees; we were among a great group of people. I accept this award on behalf of the truly many technicians who fall under the umbrella of the art department. And believe you me, on ""Gatsby"" there were many, many very talented technicians who worked on the film.

 CATHERINE MARTIN:
 I'd like to thank Karen Murphy, my associate production designer. Neither Bev or I would be standing here if it wasn't for you. Our supervising art director, Ian Gracie. You rock – and you swear a lot. Thank you, and I've just got to shout out to my children or they'll never forgive me: Hi, Lilly. Hi, William. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Kim Novak, Matthew McConaughey",Short Film (Animated),NA,Mr. Hublot,NA,Laurent Witz and Alexandre Espigares,"LAURENT WITZ:
 Sorry, lot of emotion. I have to take a paper. Thank you, the Academy, for this award. Thank you for supporting shorts and new talents. It's my first movie as director and producer. The first movie of Alexandre as co-director. I feel it's an American dream. Thank you, Stéphane Halleux, your fantastic sculpture and artwork; you deserve an Oscar, my friend. Thank you, Mickael, Pascal, David, Thierry, Ghayth, Li-Lo* and the rest of the team. They work with patience. Many thanks to Film Fund Luxembourg – Guy, here – the CNC, la Région Lorraine and ARTE. Thank you to my family, and especially Audrey and my children. Thank you. I love you. And finally, thank you ""Mr. Hublot"" for making this dream become reality. Thank you very much. Merci.
"
2013,86,2014-03-02,Dolby Theatre,"Kate Hudson, Jason Sudeikis",Short Film (Live Action),NA,Helium,NA,Anders Walter and Kim Magnusson,"ANDERS WALTER:
 Wow, this is crazy. I want to thank the Academy. And I want to thank the Short Branch for keeping this category in the show. It's amazing, it's amazing window for new talents to show their film. I want to thank an amazing cast, a fantastic crew, who did this film for no money at all, who just showed up and fell in love with this, this film. And I want to thank my family. I want to thank my beautiful wife Anne, and my beautiful daughter Clara. And I want to thank two great producers who's always behind me. One is Tivi Magnusson, and the other one is his son, and this is, this guy, Kim Magnusson.

 KIM MAGNUSSON:
 I just want to take a quick note and thank everybody who's keep on making the shorts. Our fellow nominees, thank you; congratulations to all. And then I would like to thank my wife Rebecca, my four kids. And for my mother, this is for you. I know you're watching at home sick, so this is for you, Mom.
"
2013,86,2014-03-02,Dolby Theatre,"Chris Hemsworth, Charlize Theron",Sound Editing,NA,Gravity,NA,Glenn Freemantle,"GLENN FREEMANTLE:
 Wow, my heart's beating faster than Sandra's. Obviously I'd like to thank Alfonso Cuarón for an amazing film, absolutely amazing film. Who then, the reason why I'm here is, he gave us such a great opportunity. All of us. And he brought us all together and he pushed us and he pushed us right into the middle of the night, sometimes longer. But it's brilliant. And also I'd like to thank my crew, obviously. They worked so hard. And David Heyman and Warner Bros., who, you know, they were 100 percent behind us and we couldn't have done it without that commitment from everybody and all the group. We were such a team on this film, and sort of had a big bond. And I'd like to thank everybody else on the film as well for that. I'd like to thank my wife Allison* and my boys, Danny, Nick and Ollie, and my crew. And thank you very, very much.
"
2013,86,2014-03-02,Dolby Theatre,"Chris Hemsworth, Charlize Theron",Sound Mixing,NA,Gravity,NA,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro","SKIP LIEVSAY:
 Thank you, Academy members, and thank you very much to our fearless leader, Alfonso, wherever you are. We want to thank you for your amazing, incredible vision and also for your incredible patience. We'd also like to thank David Heyman, Nikki Penny, Warner Bros., and our fantastic team of production sound people and post-production people who worked very hard on this movie. And I would like to thank my wife Elizabeth and my children, Miranda and Henry, wherever you are. I love you very much.

 CHRIS MUNRO:
 And of course Sandra and George, for bringing reality to the unreal. Chris and Niv would like to thank their families for bringing us all down to Earth. And right now, we're over the moon. Thank you.

 CHRISTOPHER BENSTEAD:
 Thank you. Cheers.

 NIV ADIRI:
 Thank you very much.


"
2013,86,2014-03-02,Dolby Theatre,"Joseph Gordon-Levitt, Emma Watson",Visual Effects,NA,Gravity,NA,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould","TIM WEBBER:
 On behalf of all of us, thank you so much to the Academy for this honor in a year with such amazing visual effects. Visual effects and filmmaking is all about the team, and there's far too many to thank properly but I'd like to mention David Heyman, Nikki Penny, Emmanuel Lubezki, all of the shooting crew, RSP, and the incredible team at Framestore. It seemed like a crazy project, so thank you to Warner Bros., and in particular Chris deFaria, for believing in it. To George Clooney and especially Sandra Bullock, for filling our visual effects with life and with emotion. But most of all to Alfonso Cuarón, for having, with Jonás, the vision of this breathtaking film, the audacity to make it happen and the courage to trust us to have such a big part in making it come to life. And finally, thank you to our families and the families of all visual effects artists. Thank you very much.
"
2013,86,2014-03-02,Dolby Theatre,"Robert De Niro, Penélope Cruz",Writing (Adapted Screenplay),NA,12 Years a Slave,NA,Screenplay by John Ridley,"JOHN RIDLEY:
 Thank you, all. I started writing in sitcoms a long time ago, and at that time I was very fortunate to meet a script coordinator who was gracious enough to read everything I wrote. And when she thought it was ready she put a smiling face at the end that I knew that it was job done. And, Gayle, seeing you here tonight and smiling, you take away all that soul-crushing inadequacy.

 All the praise goes to Solomon Northup. Those are his words; that is his life. All the thanks goes to the entire crew, the entire cast. To everyone at Fox Searchlight, at River Road, at New Regency and Plan B. Mr. Pitt. Most especially to Dede and Jeremy Kleiner, you made this film happen. Jeremy, you made it happen; thank you so much. Mom, Dad, Lisa, Beth, John, Jason, all my love. Thank you very much. Thank you.
"
2013,86,2014-03-02,Dolby Theatre,"Robert De Niro, Penélope Cruz",Writing (Original Screenplay),NA,Her,NA,Written by Spike Jonze,"SPIKE JONZE:
 Wow. Thank you. Thank you very much. This is an amazing moment. I appreciate it. I have 42 seconds to speak so I better hurry. I'm not up here alone; I'm up here with all of my friends and family who support me and help me make what we make. Everybody, many of them in the room, but they're all up here in this room – up on the stage with me – right now. And I appreciate everyone. There's Hoyte; he's over there laughing next to Robert De Niro. There's Natalie crying. Bryan's smiling. Megan Ellison, who's very shy, she's hiding in the back. It's all of my friends; everyone that I love. We made a movie about relationships and intimacy and that's what we share together. And so this is for all of us up here. And thank you, guys, for this.
"
2013,86,2013-11-16,"The Governors Awards (Ray Dolby Ballroom, Hollywood & Highland Center)","Gena Rowlands, George Lucas, (from the cast of ""In the Land of Blood and Honey""): Milos Timotijevic, Vanesa Glodjo, Zana Marjanovic, Nikola Djuricko",Jean Hersholt Humanitarian Award,,NA,NA,Angelina Jolie,"ANGELINA JOLIE:
 Thank you. Thank you so much. It's quite overwhelming. Thank you to the members of the Academy for this honor; my dear friends, who are here tonight; Gena and George, for your kind words. To my hero, Louis Zamperini. The cast of ""Blood and Honey."" And most of all to my family. My love, your support and your guidance make everything that I do possible. Madd – I'm not going to cry, I promise. [Laughs] I won't embarrass you. You and your brothers and sisters are my happiness, and there's no greater honor in this world than being your mom.

 I'm very humbled to be here tonight among so many extraordinary artists. My mother loved art. She loved film. She supported any crazy thing I did, but whenever it had meaning she made a point of telling me that is what film is for. And she never had a career as an artist. She never had the opportunity to express herself beyond her theater class. But she wanted more than for herself, she wanted for Jamie and I to know what it is to have a life as artists, and she gave us that chance. She drove me to every audition and she would wait in the car for hours. Always make me feel really good all the times I didn't get the job, and when I did we would jump up and down and scream and yell like little girls. She wasn't really the best critic since she never had anything unkind to say, but she did give me love and confidence and, above all, she was very clear that nothing would mean anything if I didn't live a life of use to others.

 And I didn't know what that meant for a long time. I came into this business young and worried about my own experiences and my own pain, and it was only when I began to travel and look and live beyond my home, did I understand my responsibility to others. And when I met survivors of war and famine and rape, I learned what life is like for most people in this world and how fortunate I was to have food to eat, a roof over my head, a safe place to live, and the joy of having my family safe and healthy. And I realized how sheltered I had been and I was determined never to be that way again.

 We are all, everyone in this room, so fortunate. I have never understood why some people are lucky enough to be born with the chance that I had, to have this path in life, and why across the world there's a woman just like me, with the same abilities and the same desires, the same work ethic and love for her family, who would most likely make better films and better speeches, only she sits in a refugee camp and she has no voice. She worries about what her children will eat, how to keep them safe, and if they'll ever be allowed to return home. I don't know why this is my life and that's hers. I don't understand that. But I will do as my mother asked, and I will do the best I can with this life to be of use. And to stand here today means that I did as she asked, and if she were alive she'd be very proud. So thank you for that.
"
2013,86,2013-11-16,"The Governors Awards (Ray Dolby Ballroom, Hollywood & Highland Center)","Emma Thompson, Geoffrey Rush, Robert Osborne",Honorary Award,", an entertainment icon who has created some of cinema's most memorable characters, inspiring generations of actors.",NA,NA,Angela Lansbury,"ANGELA LANSBURY:
 Oh, you have no idea. Oh my God. Oh, this is so marvelous. Thank you. Oh, this is amazing; what an incredible moment. Gosh. What an eleven o'clock number! Oh wow.

 You know, when I was first asked by the Academy who I would like to introduce me, I thought carefully and I came to a conclusion that the one person who really knew about my early work was Robert, Robert Osborne. I mean, so many of the legendary directors and producers who gave me such incredible opportunities in film, they were long gone, you know. I was still around. But thanks to Turner Classic Movies and Robert those great films are shown and studied and discussed by students everywhere, as well as seen by a huge general audience. So, thank you, TMC, and thank you, Robert, for keeping me alive all these years. [Laughs]

 Emma, bless your heart. ""Aunt Adelaide"" was a wonderful moment for me because I had sort of pulled out completely of everything when my darling husband Peter died. And you, by inviting me to play the dreaded ""Aunt Adelaide,"" you simply helped me get back on track. And I am incredibly indebted to you for that.

 You know, during the long course of my career in film and television and theater I have known and worked with the very best of their time. You know, Ingrid Bergman, that beautiful, lovely woman. Bette Davis, crazy, wonderful dame. Kate Hepburn, [makes a growling noise] you know...I give her credit, really, for getting me into the part...she really got me the part in ""State of the Union."" I don't think I ever would have got it without her help. And, you know, people like Orson Welles and Laurence Olivier and Frank Sinatra, Paul Newman and Spencer Tracy. James Earl Jones, who I just completed a six-month tour of ""Driving Miss Daisy"" in Australia with; which was a fantastic experience. And I must tell you, I even had coffee in the MGM commissary with Clark Gable. That's as far as it went, you understand. But we were on the lot together. I once saw him driving down Sunset Blvd., I'll never forget, in a dark brown Mercedes convertible. I never got over it. And when I could afford it I got the same car in dark brown [laughs] and drove it for years until it was stolen.

 But how would I have even begun my career in ""Gaslight"" without the belief of the great directors of that time, in that case, of course, George Cukor. Or Arthur [sic] Lewin in ""The Picture of Dorian Gray."" Or been given the incredible role of ""Mrs. Iselin"" in ""The Manchurian Candidate"" by the great John Frankenheimer, whose widow is here with me tonight, bless her heart. And I'm so proud that she is. I just couldn't top that role, so I took off for Broadway and musical comedy by way of Stephen Sondheim's ""Anyone Can Whistle"" and Jerry Herman's ""Mame.""

 Now, movies have taken a bit of a back seat since then, except of course for darling ""Mrs. Potts"" and ""Eglantine Price."" But in 1984, I came back to Universal City and I stayed around for twelve years playing ""Jessica Fletcher"" in ""Murder, She Wrote."" The interesting thing is that ""Murder, She Wrote"" has given me more worldwide attention than any role I ever played in movies or on the stage [laughs]. And it's a wonderful thing to be known, you know, in Spain and Portugal and Paris and France and Germany and everywhere, and, you know, to have a whole kind of worldwide career. That's what television does for you if have a hit show, and we did.

 You know, you can't imagine how happy and proud, indeed I feel really undeserving of this gorgeous golden chap. And I want to thank the Governors' Honorary Oscar from the Academy tonight, and to be here in the company of my beloved family and friends instead of sitting, shivering with hope and then disappointment in Grauman's Chinese Theatre in the 1940s and 60s – yeah. Sharing this wonderful occasion with me tonight are my twin brothers Edgar and Bruce Lansbury, who traveled with me and our mother Moyna to this great country as evacuees from England in 1940. And my sons Anthony and David, and my darling daughter Deirdre, and my wonderful grandchildren Peter, Katherine and Ian. Let me tell ya, it doesn't get much better than that. Thank you.
"
